Date,Ent-Open,Ent-High,Ent-Low,Ent-Close,Ent-Adj Close,Power-Open,Power-High,Power-Low,Power-Close,Power-Adj Close,Ports-Open,Ports-High,Ports-Low,Ports-Close,Ports-Adj Close
2020-05-04,136.899994,137.5,130,131.550003,131.550003,31,31,29.6,29.85,29.85,275,280,262,266.350006,266.350006
2020-05-05,135,136.350006,131.800003,132.699997,132.699997,30.549999,30.85,30,30.450001,30.450001,271.700012,271.700012,261.100006,263.100006,263.100006
2020-05-06,133.649994,135.399994,127.300003,133.25,133.25,30.700001,30.9,29.700001,30.65,30.65,261.100006,273.5,261.100006,270.149994,270.149994
2020-05-07,131.100006,135.649994,130,134.899994,134.899994,30.200001,31.1,30.200001,30.549999,30.549999,271.200012,284.5,268.450012,282.399994,282.399994
2020-05-08,136.899994,139.350006,136.199997,137.149994,137.149994,30.799999,31.200001,29.700001,29.9,29.9,285.100006,286.850006,280.549988,285.049988,285.049988
2020-05-11,137.850006,143.300003,137.5,140.050003,140.050003,30,30.450001,29.5,29.6,29.6,285.200012,293.25,285.200012,289.700012,289.700012
2020-05-12,138.5,140.699997,133.199997,139.899994,139.899994,29.6,30,29.049999,29.85,29.85,289,292.799988,285.25,291.5,291.5
2020-05-13,145,145,140.75,141.149994,141.149994,31.75,32.75,29.9,31.85,31.85,297,311.899994,262.350006,309.350006,309.350006
2020-05-14,139.550003,142.350006,137.399994,140.899994,140.899994,32.5,36.349998,32.099998,33.049999,33.049999,301.100006,311.450012,301.100006,308.399994,308.399994
2020-05-15,141.399994,143.699997,140,141.050003,141.050003,33.299999,33.349998,32.099998,32.349998,32.349998,309,312,305.350006,309.25,309.25
2020-05-18,144.800003,146.399994,134.350006,135.899994,135.899994,33.299999,33.299999,30.299999,30.9,30.9,306,307.350006,291.350006,293.299988,293.299988
2020-05-19,137.800003,145.899994,134.449997,139.699997,139.699997,31.5,36.400002,30.6,35.299999,35.299999,299.799988,320.899994,297.350006,319.200012,319.200012
2020-05-20,139.5,143.199997,138,141.350006,141.350006,36.5,37,34.150002,34.599998,34.599998,318,324.799988,311.549988,323.75,323.75
2020-05-21,142.199997,144,137.050003,138.300003,138.300003,34.700001,34.900002,33.200001,34.25,34.25,319.399994,322.149994,315.399994,317.149994,317.149994
2020-05-22,138,141.199997,136.600006,138.100006,138.100006,33.5,34.5,32.849998,33,33,315,315,306.549988,310.600006,310.600006
2020-05-26,139,143.300003,138.350006,139.5,139.5,33.400002,37.200001,33.400002,36.700001,36.700001,312.399994,320.549988,309.600006,315.600006,315.600006
2020-05-27,139.75,141.600006,138.5,141,141,36.5,38.25,35.849998,37,37,313,328.5,313,326.649994,326.649994
2020-05-28,141.699997,144.399994,140.600006,142.649994,142.649994,37.799999,38.099998,35.5,36,36,329.5,334.149994,327.450012,331.799988,331.799988
2020-05-29,141.100006,153.600006,141.100006,148.350006,148.350006,36.150002,37.299999,35.549999,36.400002,36.400002,330,330,322.049988,323.799988,323.799988
2020-06-01,150,154.899994,149.5,150.5,150.5,40,40,37.75,39.549999,39.549999,326,336.350006,326,329.350006,329.350006
2020-06-02,151,152.600006,148.25,149.949997,149.949997,39.549999,40.5,39.049999,40.200001,40.200001,330.200012,341.649994,325.799988,339.950012,339.950012
2020-06-03,151.75,157.899994,149.600006,150.649994,150.649994,41.900002,41.900002,37.099998,37.700001,37.700001,344,344.950012,336.850006,339.549988,339.549988
2020-06-04,150.5,153.899994,146.149994,148,148,37.700001,39.25,37.25,38.75,38.75,341,342.899994,337.600006,339.200012,339.200012
2020-06-05,148.899994,155,148.449997,152.449997,152.449997,39,39.400002,38.450001,38.900002,38.900002,340.100006,347.149994,337.200012,341.149994,341.149994
2020-06-08,155.600006,158.5,150.649994,152.649994,152.649994,39.099998,40,38.25,38.549999,38.549999,343.100006,347.649994,340.950012,343.299988,343.299988
2020-06-09,154.199997,156.699997,151.050003,151.899994,151.899994,38.900002,39.25,38.049999,38.349998,38.349998,344.5,351.350006,341.299988,346.049988,346.049988
2020-06-10,152.75,154.75,150.25,151.850006,151.850006,38.700001,39.099998,38.099998,38.799999,38.799999,346.049988,349.75,340.399994,346.549988,346.549988
2020-06-11,151.850006,165.449997,150.25,151.800003,151.800003,38.849998,38.900002,37.650002,37.849998,37.849998,348,348,336.799988,338.649994,338.649994
2020-06-12,144,153.300003,141,152.300003,152.300003,36.099998,38.25,36.099998,38,38,330.649994,347.799988,327.700012,345.299988,345.299988
2020-06-15,151.800003,156.850006,148.25,149.25,149.25,37.900002,38.799999,37.299999,37.5,37.5,346.5,346.850006,336.850006,339.75,339.75
2020-06-16,153.5,154,142.75,146.199997,146.199997,37.700001,38.200001,35.549999,36.599998,36.599998,347,347,335.899994,340.799988,340.799988
